"id","to_id"
1,6
2,9
3,15
4,9
5,11
6,6
7,4
8,14
9,22
10,10
11,4
12,21
13,17
14,16
15,3
16,15
17,3
18,18
19,12
20,9
21,9
22,17
23,22
24,10
25,16
26,5
27,8
28,7
29,16
30,19
31,15
32,14
33,2
34,5
35,9
36,19
37,20
38,6
39,5
40,5
41,10
42,19
43,7
44,9
45,7
46,6
47,13
48,20
49,2
50,9
51,12
52,9
53,9
54,18
55,2
56,19
57,15
58,6
59,18
60,4
61,11
62,2
63,22
64,14
65,19
66,1
67,9
68,2
69,22
70,5
71,5
72,10
73,5
74,21
75,16
76,1
77,5
78,9
79,18
80,8
81,7
82,16
83,4
84,20
85,5
86,11
87,4
88,15
89,4
90,21
91,6
92,16
93,21
94,19
95,8
96,20
97,4
98,3
99,8
